id,question,value,milliseconds,created,nquestions,expert_id,object_id
44,Amphibian,false,2300,2017-03-07 20:52:00.596924+00,3,2,553
45,Bird,true,11742,2017-03-07 21:07:13.963476+00,3,3,404
46,Reptil,false,5164,2017-03-07 21:07:19.630631+00,1,3,289
47,Reptil,false,2567,2017-03-07 21:07:23.270638+00,4,3,381
48,Bird,false,1616,2017-03-07 21:07:25.72285+00,3,3,244
49,Amphibian,false,2909,2017-03-07 21:07:29.314568+00,3,3,527
50,Amphibian,false,2118,2017-03-07 21:07:31.998444+00,4,3,343
51,Amphibian,false,1596,2017-03-07 21:07:34.192367+00,2,3,204
52,Amphibian,false,2475,2017-03-07 21:07:37.637001+00,3,3,475
53,Amphibian,false,1591,2017-03-07 21:07:39.799062+00,4,3,208
54,Amphibian,false,1837,2017-03-07 21:07:42.188925+00,4,3,565
55,Bird,true,1268,2017-03-07 21:07:43.995131+00,2,3,207
56,Bird,true,2376,2017-03-07 21:08:01.289788+00,3,3,59
57,Amphibian,false,2849,2017-03-07 21:08:05.243911+00,2,3,312
58,Amphibian,false,1294,2017-03-07 21:08:07.326191+00,2,3,457
59,Amphibian,false,1923,2017-03-07 21:08:10.153165+00,3,3,377
60,Amphibian,true,11789,2017-03-07 21:08:22.791111+00,4,3,223
61,Amphibian,false,2425,2017-03-07 21:08:26.014661+00,3,3,524
62,Amphibian,false,6303,2017-03-07 21:08:32.812202+00,3,3,300
63,Amphibian,false,1510,2017-03-07 21:08:35.385092+00,4,3,259
64,Amphibian,false,1158,2017-03-07 21:08:37.117053+00,3,3,435
65,Bird,false,1389,2017-03-07 21:08:38.966187+00,2,3,240
66,Amphibian,false,1343,2017-03-07 21:08:40.855848+00,4,3,70
67,Mammal,true,2352,2017-03-07 21:08:43.732079+00,3,3,524
68,Amphibian,false,1251,2017-03-07 21:08:45.486112+00,4,3,414
69,Amphibian,false,3930,2017-03-07 21:08:50.212886+00,4,3,209
70,Bird,true,900,2017-03-07 21:08:51.60097+00,2,3,226
71,Bird,false,1504,2017-03-07 21:08:53.613031+00,4,3,343
72,Reptil,false,1325,2017-03-07 21:08:55.612391+00,3,3,524
73,Amphibian,false,2864,2017-03-07 21:08:59.22303+00,4,3,34
74,Amphibian,false,3477,2017-03-07 21:09:03.562348+00,4,3,373
75,Amphibian,false,1210,2017-03-07 21:09:05.365499+00,4,3,144
76,Bird,false,1437,2017-03-07 21:09:07.409914+00,3,3,475
77,Amphibian,false,2304,2017-03-07 21:09:10.300888+00,2,3,160
78,Bird,false,1197,2017-03-07 21:09:12.063268+00,4,3,34
79,Bird,true,1132,2017-03-07 21:09:13.783619+00,4,3,209
80,Amphibian,true,1412,2017-03-07 21:09:15.88848+00,3,3,425
81,Bird,false,1113,2017-03-07 21:09:17.62597+00,3,3,377
82,Amphibian,false,1496,2017-03-07 21:09:19.714777+00,3,3,244
83,Amphibian,false,1085,2017-03-07 21:09:21.58958+00,2,3,219
84,Reptil,false,1141,2017-03-07 21:09:23.675034+00,2,3,204
85,Amphibian,false,5489,2017-03-07 21:09:29.725611+00,4,3,572
86,Bird,true,3842,2017-03-07 21:09:34.187654+00,2,3,500
87,Mammal,true,5230,2017-03-07 21:09:40.242167+00,2,3,350
88,Bird,true,10760,2017-03-07 21:09:51.547459+00,3,3,303
89,Bird,false,1585,2017-03-07 21:09:53.668974+00,4,3,70
90,Mammal,false,1094,2017-03-07 21:09:55.386299+00,4,3,70
91,Mammal,true,907,2017-03-07 21:09:56.909406+00,3,3,244
92,Amphibian,false,1257,2017-03-07 21:09:58.772977+00,4,3,179
93,Mammal,false,13038,2017-03-07 21:10:12.648953+00,3,3,377
94,Amphibian,false,1014,2017-03-07 21:10:14.23683+00,4,3,378
95,Amphibian,false,2401,2017-03-07 21:10:17.272116+00,4,3,589
96,Bird,false,4352,2017-03-07 21:10:22.208501+00,3,3,588
97,Bird,false,1428,2017-03-07 21:10:24.318127+00,4,3,144
98,Amphibian,false,1285,2017-03-07 21:10:26.173109+00,3,3,530
99,Mammal,false,6746,2017-03-07 21:10:33.513526+00,1,3,119
100,Amphibian,false,2022,2017-03-07 21:10:36.085606+00,4,3,342
101,Amphibian,false,18481,2017-03-07 21:10:55.434695+00,4,3,38
102,Bird,false,1131,2017-03-07 21:10:57.372981+00,4,3,38
103,Bird,false,9078,2017-03-07 21:11:05.632873+00,4,3,572
104,Bird,false,3279,2017-03-07 21:11:09.642275+00,4,3,259
105,Mammal,true,2004,2017-03-07 21:11:12.508213+00,3,3,530
106,Bird,false,2426,2017-03-07 21:11:15.531211+00,4,3,589
107,Bird,false,4870,2017-03-07 21:18:37.752186+00,2,2,244
108,Amphibian,false,1516,2017-03-07 21:18:39.548268+00,3,2,385
109,Reptil,false,811,2017-03-07 21:18:40.689379+00,2,2,244
110,Amphibian,true,4920,2017-03-07 21:18:45.940532+00,4,2,459
111,Amphibian,false,1338,2017-03-07 21:18:47.844804+00,4,2,589
112,Mammal,true,1328,2017-03-07 21:18:49.983024+00,2,2,37
113,Amphibian,false,1174,2017-03-07 21:18:51.517978+00,3,2,245
114,Bird,false,1058,2017-03-07 21:18:52.856473+00,3,2,94
115,Amphibian,false,1336,2017-03-07 21:18:54.871019+00,2,2,207
116,Amphibian,false,1289,2017-03-07 21:18:56.608031+00,4,2,495
117,Reptil,false,983,2017-03-07 21:18:58.150948+00,2,2,37
118,Amphibian,false,1260,2017-03-07 21:18:59.807244+00,4,2,57
119,Bird,true,1595,2017-03-07 21:19:02.024042+00,2,2,207
120,Mammal,false,1560,2017-03-07 21:19:03.940532+00,2,2,503
121,Amphibian,false,923,2017-03-07 21:19:05.255921+00,4,2,258
122,Amphibian,false,1049,2017-03-07 21:19:06.706393+00,4,2,502
123,Bird,false,1264,2017-03-07 21:19:08.333986+00,2,2,373
124,Bird,false,1406,2017-03-07 21:19:10.427164+00,2,2,397
125,Bird,false,2387,2017-03-07 21:19:13.544761+00,4,2,495
126,Mammal,false,1514,2017-03-07 21:32:31.416767+00,1,2,539
127,Bird,false,1251,2017-03-07 21:32:33.042708+00,1,2,289
128,Amphibian,false,1379,2017-03-07 21:32:34.767729+00,3,2,451
129,Amphibian,false,890,2017-03-07 21:32:35.999267+00,4,2,408
130,Bird,false,1192,2017-03-07 21:32:37.998464+00,4,2,589
131,Amphibian,false,1341,2017-03-07 21:32:39.702771+00,1,2,343
132,Amphibian,false,1946,2017-03-07 21:32:42.001081+00,4,2,471
133,Mammal,false,808,2017-03-07 21:32:43.210123+00,4,2,589
134,Amphibian,false,2129,2017-03-07 21:33:15.327037+00,3,2,544
135,Bird,false,1416,2017-03-07 21:33:17.790777+00,4,2,459
136,Bird,false,1087,2017-03-07 21:33:19.690945+00,4,2,408
137,Amphibian,false,862,2017-03-07 21:33:21.23548+00,4,2,40
138,Bird,false,977,2017-03-07 21:33:23.142408+00,4,2,40
139,Amphibian,false,959,2017-03-07 21:33:24.621784+00,3,2,160
140,Amphibian,false,752,2017-03-07 21:33:25.788163+00,3,2,225
141,Bird,true,1603,2017-03-07 21:33:27.857139+00,3,2,544
142,Amphibian,false,1238,2017-03-07 21:33:29.696729+00,4,2,564
143,Amphibian,false,1290,2017-03-07 21:33:31.764686+00,2,2,77
144,Bird,false,1273,2017-03-07 21:33:33.562867+00,2,2,327
145,Mammal,true,944,2017-03-07 21:33:34.943184+00,4,2,40
147,Amphibian,false,2055,2017-03-07 21:33:39.132765+00,4,2,551
